Date,Time,LEVELcm,TEMPERATURE
1/14/19,22:50:00,972.6,8.3
1/14/19,23:00:00,972.6,8.3
1/14/19,23:10:00,972.8,8.2
1/14/19,23:20:00,972.6,8.2
1/14/19,23:30:00,972.6,8.2
1/14/19,23:40:00,972.3,8.2
1/14/19,23:50:00,972.6,8.2
1/15/19,0:00:00,972.4,8.2
1/15/19,0:10:00,972.2,8.2
1/15/19,0:20:00,972.3,8.1
1/15/19,0:30:00,972.3,8.1
1/15/19,0:40:00,972.3,8.1
1/15/19,0:50:00,972.2,8.1
1/15/19,1:00:00,971.8,8.1
1/15/19,1:10:00,972.2,8.1
1/15/19,1:20:00,972.3,8.1
1/15/19,1:30:00,971.8,8
1/15/19,1:40:00,972,8
1/15/19,1:50:00,972,8
1/15/19,2:00:00,972.3,8
1/15/19,2:10:00,972.2,8
1/15/19,2:20:00,972.4,8
1/15/19,2:30:00,972.3,8
1/15/19,2:40:00,972.4,8
1/15/19,2:50:00,972.4,7.9
1/15/19,3:00:00,972.4,7.9
1/15/19,3:10:00,972.6,7.9
1/15/19,3:20:00,972.3,7.9
1/15/19,3:30:00,972.3,7.9
1/15/19,3:40:00,972.4,7.9
1/15/19,3:50:00,972.2,7.9
1/15/19,4:00:00,972.2,7.9
1/15/19,4:10:00,972.2,7.9
1/15/19,4:20:00,972.3,7.9
1/15/19,4:30:00,972,7.8
1/15/19,4:40:00,972,7.8
1/15/19,4:50:00,972.2,7.8
1/15/19,5:00:00,972.2,7.8
1/15/19,5:10:00,972,7.8
1/15/19,5:20:00,972,7.8
1/15/19,5:30:00,972.2,7.8
1/15/19,5:40:00,972.2,7.8
1/15/19,5:50:00,972,7.8
1/15/19,6:00:00,972.3,7.8
1/15/19,6:10:00,972.2,7.7
1/15/19,6:20:00,972.3,7.7
1/15/19,6:30:00,972.2,7.7
1/15/19,6:40:00,972.4,7.7
1/15/19,6:50:00,972.4,7.7
1/15/19,7:00:00,972.8,7.7
1/15/19,7:10:00,972.8,7.7
1/15/19,7:20:00,972.6,7.7
1/15/19,7:30:00,972.8,7.7
1/15/19,7:40:00,973,7.7
1/15/19,7:50:00,972.9,7.7
1/15/19,8:00:00,972.6,7.6
1/15/19,8:10:00,973,7.6
1/15/19,8:20:00,972.8,7.6
1/15/19,8:30:00,972.8,7.7
1/15/19,8:40:00,972.9,7.7
1/15/19,8:50:00,973,7.7
1/15/19,9:00:00,973,7.7
1/15/19,9:10:00,973.6,7.7
1/15/19,9:20:00,973.6,7.7
1/15/19,9:30:00,974,7.7
1/15/19,9:40:00,974.1,7.7
1/15/19,9:50:00,974,7.8
1/15/19,10:00:00,974.3,7.8
1/15/19,10:10:00,974.3,7.8
1/15/19,10:20:00,974.4,7.8
1/15/19,10:30:00,974.4,7.9
1/15/19,10:40:00,974.1,7.9
1/15/19,10:50:00,974.3,7.9
1/15/19,11:00:00,974.4,8
1/15/19,11:10:00,974.1,8
1/15/19,11:20:00,974,8
1/15/19,11:30:00,974.1,8.1
1/15/19,11:40:00,973.8,8.2
1/15/19,11:50:00,973.3,8.4
1/15/19,12:00:00,973.2,8.5
1/15/19,12:10:00,973,8.6
1/15/19,12:20:00,972.8,8.6
1/15/19,12:30:00,972.8,8.7
1/15/19,12:40:00,972.6,8.7
1/15/19,12:50:00,972.2,8.7
1/15/19,13:00:00,972,8.7
1/15/19,13:10:00,971.8,8.7
