site_no,datetime,Q cfs
3508050,5/10/18,545
3508050,5/11/18,520
3508050,5/12/18,580
3508050,5/13/18,422
3508050,5/14/18,347
3508050,5/15/18,604
3508050,5/16/18,948
3508050,5/17/18,941
3508050,5/18/18,1590
3508050,5/19/18,1750
3508050,5/20/18,1280
3508050,5/21/18,1080
3508050,5/22/18,1000
3508050,5/23/18,964
3508050,5/24/18,1360
3508050,5/25/18,1420
3508050,5/26/18,1140
3508050,5/27/18,1160
3508050,5/28/18,1180
3508050,5/29/18,2830
3508050,5/30/18,4920
3508050,5/31/18,4120
3508050,6/1/18,3110
3508050,6/2/18,1610
3508050,6/3/18,1180
3508050,6/4/18,1040
3508050,6/5/18,980
3508050,6/6/18,1030
3508050,6/7/18,996
3508050,6/8/18,936
3508050,6/9/18,1020
3508050,6/10/18,937
3508050,6/11/18,775
3508050,6/12/18,456
3508050,6/13/18,291
3508050,6/14/18,868
3508050,6/15/18,610
3508050,6/16/18,695
3508050,6/17/18,633
3508050,6/18/18,567
3508050,6/19/18,673
3508050,6/20/18,558
3508050,6/21/18,722
3508050,6/22/18,514
3508050,6/23/18,586
3508050,6/24/18,200
3508050,6/25/18,122
3508050,6/26/18,269
3508050,6/27/18,438
3508050,6/28/18,453
3508050,6/29/18,318
3508050,6/30/18,445
3508050,7/1/18,445
3508050,7/2/18,509
3508050,7/3/18,501
3508050,7/4/18,510
3508050,7/5/18,469
3508050,7/6/18,397
3508050,7/7/18,396
3508050,7/8/18,310
3508050,7/9/18,249
3508050,7/10/18,355
3508050,7/11/18,433
3508050,7/12/18,442
3508050,7/13/18,219
3508050,7/14/18,422
3508050,7/15/18,377
3508050,7/16/18,359
3508050,7/17/18,386
3508050,7/18/18,448
3508050,7/19/18,391
3508050,7/20/18,233
3508050,7/21/18,344
3508050,7/22/18,253
3508050,7/23/18,206
3508050,7/24/18,274
3508050,7/25/18,293
3508050,7/26/18,289
3508050,7/27/18,267
3508050,7/28/18,503
3508050,7/29/18,298
3508050,7/30/18,293
3508050,7/31/18,304
3508050,8/1/18,469
3508050,8/2/18,945
3508050,8/3/18,984
3508050,8/4/18,849
3508050,8/5/18,848
3508050,8/6/18,789
3508050,8/7/18,665
3508050,8/8/18,644
3508050,8/9/18,656
3508050,8/10/18,358
3508050,8/11/18,577
3508050,8/12/18,512
3508050,8/13/18,487
3508050,8/14/18,487
3508050,8/15/18,615
3508050,8/16/18,539
3508050,8/17/18,404
3508050,8/18/18,457
3508050,8/19/18,340
3508050,8/20/18,339
3508050,8/21/18,413
3508050,8/22/18,494
3508050,8/23/18,437
3508050,8/24/18,227
3508050,8/25/18,454
3508050,8/26/18,182
3508050,8/27/18,76.1
3508050,8/28/18,159
3508050,8/29/18,267
3508050,8/30/18,269
3508050,8/31/18,161
3508050,9/1/18,274
3508050,9/2/18,272
3508050,9/3/18,348
3508050,9/4/18,790
3508050,9/5/18,904
3508050,9/6/18,874
3508050,9/7/18,835
3508050,9/8/18,642
3508050,9/9/18,773
3508050,9/10/18,881
3508050,9/11/18,857
3508050,9/12/18,857
3508050,9/13/18,941
3508050,9/14/18,936
3508050,9/15/18,722
3508050,9/16/18,575
3508050,9/17/18,405
3508050,9/18/18,592
3508050,9/19/18,588
3508050,9/20/18,580
3508050,9/21/18,582
3508050,9/22/18,550
3508050,9/23/18,525
3508050,9/24/18,562
3508050,9/25/18,570
3508050,9/26/18,671
3508050,9/27/18,610
3508050,9/28/18,697
3508050,9/29/18,524
3508050,9/30/18,633
3508050,10/1/18,645
3508050,10/2/18,642
3508050,10/3/18,641
3508050,10/4/18,640
3508050,10/5/18,634
3508050,10/6/18,576
3508050,10/7/18,627
